experiment_name,FOV,trench_id,gene,Start_frame,End_frame,resegmented?,trackasrta? ,working on,NOTES,,
DUMM_giTG62_Glucose_012925,5,445,chpS,27,null,TRUE,FALSE,Adrian, ,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,900,chpS,27,90,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,1128,chpS,22,99,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,1277,chpS,28,174,TRUE,FALSE,Adrian,could also try 49->null,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,1887,chpS,30,null,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,2115,chpS,22,85,TRUE,TRUE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,2344,chpS,22,null,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,2421,chpS,22,null,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG62_Glucose_012925,5,2497,chpS,28,null,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
DUMM_giTG66_Glucose_012325,3,250,baeS,0,58,TRUE,FALSE,Adrian,,,
DUMM_giTG66_Glucose_012325,3,275,baeS,0,53,TRUE,FALSE,Adrian,,, 
DUMM_giTG66_Glucose_012325,3,453,baeS,0,32,TRUE,FALSE,Adrian,Might be good to troubleshoot tracking with , ,
DUMM_giTG66_Glucose_012325,3,479,baeS,0,57,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,756,lacZ,0,121,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,832,lacZ,0,null,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,72,lacZ,0,82,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,1820,lacZ,27,151,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,985,lacZ,0,72,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,1061,lacZ,18,81,TRUE,TRUE,Adrian,,,
DUMM_giTG059_noKan_Glucose_031125,4,2276,lacZ,14,79,TRUE,TRUE,Adrian,,,
DUMM_giTG064_Glucose_022625,1,114,gfcE,39,176,TRUE,FALSE,Adrian,,could also benefit from new drift correction,
